listing_id,price,room_type,property_type,property_base_group,accommodates,bedrooms,bathrooms,beds,amenities_count,minimum_nights,minimum_nights_log
9581593,645.0,Private room,Private room in rental unit,Apartment / Condo,2,1.0,1.0,1.0,10,45,3.828641396489095
9595246,447.0,Private room,Private room in home,House / Home,2,1.0,1.0,1.0,2,1,0.6931471805599453
9666312,773.0,Entire home/apt,Entire rental unit,Apartment / Condo,3,1.0,1.0,1.0,34,1,0.6931471805599453
9766252,1778.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,43,4,1.6094379124341003
10144418,730.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,34,29,3.4011973816621555
10624983,1079.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,30,1,0.6931471805599453
10708902,4500.0,Entire home/apt,Entire home,House / Home,4,2.0,2.0,2.0,35,2,1.0986122886681098
11419983,17170.0,Entire home/apt,Entire home,House / Home,12,5.0,1.0,6.0,27,3,1.3862943611198906
11425056,990.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,12,30,3.4339872044851463
11563263,727.0,Entire home/apt,Entire serviced apartment,Serviced Apartment / Aparthotel,2,1.0,1.0,2.0,41,1,0.6931471805599453
11852631,1437.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,55,3,1.3862943611198906
12073398,3678.0,Entire home/apt,Entire home,House / Home,4,2.0,1.0,2.0,13,5,1.791759469228055
12213380,808.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,28,15,2.772588722239781
12332264,600.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,0.0,1.0,1.0,29,1,0.6931471805599453
12336942,2610.0,Private room,Private room in rental unit,Apartment / Condo,2,1.0,1.0,2.0,11,1,0.6931471805599453
12377325,670.0,Entire home/apt,Entire rental unit,Apartment / Condo,3,0.0,1.5,1.0,42,1,0.6931471805599453
12436002,3344.0,Private room,Room in boutique hotel,Hotel / Resort,2,1.0,1.0,1.0,18,1,0.6931471805599453
12686159,432.0,Private room,Private room in condo,Apartment / Condo,2,1.0,1.0,1.0,10,30,3.4339872044851463
12828159,3030.0,Entire home/apt,Entire rental unit,Apartment / Condo,4,3.0,3.5,3.0,31,12,2.5649493574615367
12918427,870.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,41,25,3.258096538021482
12960000,799.0,Entire home/apt,Entire condo,Apartment / Condo,2,0.0,1.0,1.0,23,30,3.4339872044851463
12973533,1850.0,Entire home/apt,Entire condo,Apartment / Condo,4,2.0,2.0,2.0,50,28,3.367295829986474
13165187,2343.0,Entire home/apt,Entire rental unit,Apartment / Condo,4,1.0,1.5,2.0,55,7,2.0794415416798357
